owner,amount
0x0e134579Ce3619397CCC0DC124cC3B43A94d18e1,420.69
0x0c87Bb66BaC9824fC67332d28eB4aAC4fC3e1362,420.69
0x1ab5D3696e3b75cd88D2590692C4431050F048e8,420.69
0x3C04646939FFF7cdE1EC8cEd3C49Bc97d84F16d6,420.69
0x5f310dc66F4ecDE9a1769f1B7D75224dA592201e,420.69
0x7a9af6Ef9197041A5841e84cB27873bEBd3486E2,420.69
0x24F8542Da0C5f267c177a224270442C73804EE80,420.69
0x95ddA5dc54331a1E6B65aF1Cd7167962A2f7f280,420.69
0x4127839cdf4F73d9fC9a2C2861d8d1799e9DF40C,420.69
0xAE849Cf7e97d72BE8beB5d8cA35f5E1ffb45e856,420.69
0xAecDFD3A19f777F0c03e6bf99AAfB59937d6467b,420.69
0xC642bEc0e4f69815e89723C09caA8DAa524cAc9c,420.69
