owner,amount
0xC642bEc0e4f69815e89723C09caA8DAa524cAc9c,23023120000000000000000
0x0e134579Ce3619397CCC0DC124cC3B43A94d18e1,23023120000000000000000
0xc961F51A588dFffA27305fb2E4F3D4286aF5b28F,23023120000000000000000
0x883d9e75479c5064636984f592e9d2a110a27106,23023120000000000000000
0x1ab5D3696e3b75cd88D2590692C4431050F048e8,23023120000000000000000
0x3096bA29D37919102D3a266a0CFeA5eb892C3f0e,23023120000000000000000
0x5f310dc66F4ecDE9a1769f1B7D75224dA592201e,23023120000000000000000
0x05debd9158Bd83dCB1088E1157F7f8Ac0a53f536,23023120000000000000000
0xBAf4d7f10B256f58Af95d4d2b531b8065d59C7ad,23023120000000000000000
0xAeCE417191B273770a161c9d9581495E5290dd45,23023120000000000000000
0x93559b91C96Ea3C61e81FA960E7Ba11CB0a5D3eF,23023120000000000000000
0x4127839cdf4F73d9fC9a2C2861d8d1799e9DF40C,23023120000000000000000
0x23727805c8426BCcf7A6e579eD5CFabfC5468F7e,23023120000000000000000
0x61257668245BAaFCeb3C4351e3686e58dacDa1fE,23023120000000000000000
0x24F8542Da0C5f267c177a224270442C73804EE80,23023120000000000000000
0x95ddA5dc54331a1E6B65aF1Cd7167962A2f7f280,23023120000000000000000
0x7cB6E6Cbc845e79d9CA05F6577141DA36ad398f5,23023120000000000000000
0x7a9af6Ef9197041A5841e84cB27873bEBd3486E2,23023120000000000000000
0xAE849Cf7e97d72BE8beB5d8cA35f5E1ffb45e856,23023120000000000000000
0x3C04646939FFF7cdE1EC8cEd3C49Bc97d84F16d6,23023120000000000000000
0x0c87Bb66BaC9824fC67332d28eB4aAC4fC3e1362,23023120000000000000000
